Student,StudyHours,Attendance,SleepHours,ExamScore
1150,11,60,8,63.28
1151,15,63,8,84.92
1152,11,92,5,67.88
1153,15,97,5,83.34
1154,10,98,8,72.32
1155,9,92,7,63.52
1156,15,75,6,81.18
1157,10,81,6,64.25
1158,10,98,9,76.52
1159,15,92,6,86.38
1160,9,95,9,68.0
1161,7,72,5,51.34
1162,9,68,9,61.77
1163,14,71,8,72.01
1164,15,67,6,74.6
1165,12,90,8,72.24
1166,10,94,6,67.65
1167,10,60,8,66.07
1168,4,63,5,45.03
1169,8,70,6,56.49
1170,4,78,5,45.04
1171,12,62,6,66.93
1172,14,95,5,78.49
1173,15,95,7,86.55
1174,15,78,9,90.88
1175,14,63,7,65.98
1176,14,80,8,86.71
1177,4,60,9,47.65
1178,11,74,9,77.07
1179,15,83,8,78.69
1180,15,72,6,76.03
1181,11,71,9,79.75
1182,15,92,4,85.22
1183,10,62,7,61.53
1184,6,97,6,62.98
1185,4,81,7,50.42
1186,6,80,8,55.55
1187,4,100,8,60.07
1188,13,95,6,76.08
1189,5,80,8,55.48
1190,5,92,5,56.6
1191,10,94,8,70.15
1192,7,81,6,60.02
1193,9,78,5,66.38
1194,11,95,9,76.09
1195,4,67,9,48.12
1196,14,99,8,88.34
1197,7,62,9,59.65
1198,5,84,6,50.62
1199,12,78,4,74.31
1200,9,92,8,65.87
