Week,TV_Ads,SocialMedia,Newspaper,Sales
967,2811,1149,337,32836.15
968,2134,680,330,24664.31
969,3386,808,449,35690.04
970,2300,1200,362,29174.7
971,3063,1265,374,35637.85
972,2395,844,214,27139.58
973,2000,688,436,23482.31
974,2746,656,279,29752.75
975,2864,1273,389,35368.36
976,1781,611,241,22547.63
977,2516,955,333,27444.4
978,2030,770,295,25122.26
979,1759,875,387,26756.41
980,1560,943,406,22444.16
981,2379,878,334,30878.2
982,2680,1242,219,34208.25
983,2516,1066,330,29992.01
984,2660,770,294,30874.57
985,1822,861,397,26697.75
986,2980,718,258,32237.81
987,3017,1121,200,37299.38
988,2000,647,320,25114.33
989,2245,992,435,31113.6
990,3256,636,341,35244.79
991,3144,1271,307,36990.58
992,3375,927,269,36491.51
993,3191,679,346,31146.76
994,3347,653,245,34139.24
995,1957,1128,211,28167.67
996,2452,889,398,29300.29
997,3230,918,283,35818.79
998,2255,805,274,27963.79
999,2654,911,389,29725.82
1000,2711,1105,397,31745.89
