House,Size,Bedrooms,Distance,Price
1036,,5,12,285828.45
1037,143,4,2,265804.22
1038,ERROR,???,NaN,INVALID
1039,113,4,7,188823.14
1040,178,2,3,255415.48
1041,128,3,13,138156.98
1042,216,3,2,340484.49
1043,168,4,9,234462.98
1044,122,6,Unknown,232938.94
1045,128,5,9,194507.13
1046,ERROR,???,NaN,INVALID
1047,211,5,10,293398.03
1048,91,6,5,191536.23
1049,93,3,15,88455.26
1050,220,4,13,277220.55
1051,82,,5,166913.26
1052,107,5,12,145340.87
1053,163,4,5,241868.31
1054,202,2,9,237028.44
1055,126,4,2,233680.46
1056,196,5,3,$365209.69
1057,178,,3,$281385.24
1058,83,2,14,45020.85
1059,202,6,9,315540.17
1060,ERROR,???,NaN,INVALID
1061,137,2,5,196801.95
1062,108,5,4,226343.85
1063,165,2,7,251866.05
1064,188,3,12,208983.13
1065,,,6,319203.51
1066,161,3,8,202255.21
1067,189,4,4,345780.02
1068,185,6,14,276168.45
1069,220,5,10,290917.93
1070,136,2,5,199304.58
1071,114,2,2,212847.95
1072,187,,5,271897.98
1073,176,2,Unknown,201311.01
1074,87,3,Unknown,140237.73
1075,126,5,13,183897.2
1076,83,4,Unknown,199759.83
1077,82,5,15,71019.69
1078,138,,4,275453.62
1079,182,6,2,344255.25
1080,160,,15,206375.11
1081,,2,7,$128048.55
1082,159,3,10,$188259.89
1083,,6,14,132517.04
1084,208,3,7,289078.11
1085,ERROR,???,NaN,INVALID
1086,121,3,Unknown,143845.57
1087,116,3,10,130097.39
1088,172,,15,223922.72
1089,99,3,11,113576.29
1090,102,5,3,$210740.09
1091,170,2,3,271100.37
1092,115,2,11,153279.79
1093,113,,7,183666.14
1094,,6,12,150355.22
1095,,4,8,$181458.03
1096,,5,3,372893.98
1097,131,5,7,238822.97
1098,219,3,9,291212.76
1099,,4,14,96623.62
1100,,2,4,205222.63
1101,,3,12,263288.66
1102,130,4,8,196044.62
1103,,2,10,218972.88
1104,161,2,4,221408.61
1105,184,4,10,243053.2
1106,89,3,13,53762.44
1107,,3,Unknown,277163.07
1108,111,5,12,158725.81
1109,165,2,4,231985.88
1110,191,4,13,238908.84
1111,106,2,12,145842.97
1112,,6,14,281188.28
1113,177,2,5,275189.63
1114,181,2,7,212326.08
1115,,3,2,314768.06
1116,161,4,4,262091.35
1117,180,2,14,198452.05
1118,,5,5,222413.37
1119,ERROR,???,NaN,INVALID
1120,219,2,11,251592.35
1121,171,3,5,254093.68
1122,,2,Unknown,198508.95
1123,108,5,Unknown,172551.24
1124,133,,Unknown,266380.53
1125,187,5,7,282427.0
1126,88,2,7,117379.56
1127,145,2,5,199392.81
1128,87,4,4,170905.33
1129,103,4,13,117725.26
1130,124,3,12,143817.79
1131,159,3,14,180376.15
1132,107,6,8,227484.9
1133,122,2,10,146103.49
1134,109,3,14,$129201.32
1135,175,3,14,192177.71
1136,139,6,3,284718.26
1137,99,6,12,140583.24
1138,150,5,3,292897.52
1139,ERROR,???,NaN,INVALID
1140,216,,2,363985.38
1141,157,4,7,242751.9
1142,196,5,15,225034.05
1143,137,2,15,131455.1
1144,174,6,2,333261.5
1145,157,2,6,210522.54
1146,112,4,15,142547.86
1147,111,6,10,194217.7
1148,155,2,7,227071.63
1149,99,2,9,129065.84
1150,215,6,15,278901.51
1151,107,3,5,196222.73
1152,188,3,12,217200.08
1153,,3,2,216193.59
1154,101,4,8,161240.58
1155,174,2,2,258321.94
1156,206,,8,303631.29
1157,89,6,6,200103.77
1158,136,4,9,219641.96
1159,80,2,4,120713.3
1160,97,3,4,178925.85
1161,ERROR,???,NaN,INVALID
1162,,,3,266370.07
1163,208,3,14,236630.42
1164,145,,6,256304.08
1165,,2,6,266093.73
1166,207,2,5,266131.94
1167,176,2,6,259399.24
1168,169,4,8,233031.43
1169,167,6,3,301296.02
1170,117,5,12,176110.37
1171,ERROR,???,NaN,INVALID
1172,170,2,2,283851.11
1173,119,2,Unknown,112357.22
1174,170,3,14,236331.57
1175,157,6,6,287838.22
1176,186,,5,337421.17
1177,176,5,3,322635.07
1178,,5,9,289791.85
1179,157,3,11,187596.1
1180,183,2,9,$227000.28
1181,107,4,Unknown,160573.52
1182,93,3,10,133740.44
1183,ERROR,???,NaN,INVALID
1184,110,6,Unknown,289859.53
1185,111,4,8,169683.0
1186,111,5,4,227176.93
1187,219,3,9,273492.81
1188,107,5,8,190918.13
1189,157,2,12,159545.82
1190,197,4,2,312608.64
1191,214,5,10,322029.17
1192,,4,8,235618.8
1193,126,6,13,210473.96
1194,,2,2,272182.29
1195,201,4,14,242184.71
1196,,5,Unknown,340209.95
1197,175,6,12,272348.48
1198,131,3,6,175558.39
1199,215,3,3,310622.92
1200,184,6,10,270377.81
1201,215,5,5,352650.14
1202,97,5,8,160457.49
1203,105,2,9,136477.43
1204,171,2,Unknown,185395.84
1205,208,4,8,281750.24
1206,88,4,8,138814.36
1207,164,2,5,209671.37
1208,98,5,11,155699.16
1209,90,2,2,161285.93
1210,94,2,14,81029.14
1211,84,6,9,192994.47
1212,ERROR,???,NaN,INVALID
1213,185,6,Unknown,$299877.23
1214,152,2,7,214055.7
1215,202,2,12,236483.25
1216,136,5,13,189482.46
1217,148,4,13,176793.97
1218,115,6,5,236187.67
1219,89,,13,74076.53
1220,156,2,2,260544.99
1221,91,3,Unknown,148203.99
1222,166,4,Unknown,212349.05
1223,189,2,14,206302.47
1224,212,4,4,341819.92
1225,151,4,Unknown,292967.12
1226,144,6,2,296606.7
1227,198,2,9,249712.78
1228,100,4,11,142229.47
1229,146,5,4,269513.57
1230,209,5,11,296996.02
1231,145,,12,174395.51
1232,108,6,3,221452.19
1233,189,4,4,325053.43
1234,ERROR,???,NaN,INVALID
1235,134,4,10,185529.78
1236,118,,Unknown,130476.18
1237,208,6,12,$278702.35
1238,214,6,9,320141.67
1239,172,3,9,213480.28
1240,209,2,7,311705.07
1241,112,6,5,236939.12
1242,100,5,8,165861.5
1243,126,5,2,268002.38
1244,190,,13,217534.59
1245,188,4,4,287953.59
1246,107,2,3,195423.3
1247,191,4,14,219217.55
1248,81,6,11,150356.24
1249,151,2,5,217183.53
1250,162,5,Unknown,276500.09
1251,133,5,10,199149.25
1252,137,3,6,241778.44
1253,151,,3,259876.05
1254,129,,9,190410.68
1255,193,6,4,345712.95
1256,147,2,15,125450.32
1257,136,2,7,$194698.48
1258,89,5,3,219095.43
1259,89,2,5,156307.89
1260,207,4,4,337444.14
1261,80,,3,176416.57
1262,140,4,9,207205.28
1263,204,5,14,243943.05
1264,153,5,9,221838.74
1265,109,4,13,130502.92
1266,87,4,6,$171091.62
1267,146,4,8,208627.54
1268,91,4,9,157418.74
1269,,3,11,168190.83
1270,96,2,10,106112.59
1271,138,4,14,$171269.29
1272,214,2,10,269123.87
1273,143,2,6,203585.4
1274,99,2,10,$91332.19
1275,118,2,13,104894.11
1276,157,4,9,218537.21
1277,103,3,8,$138611.84
1278,180,4,14,207553.78
1279,139,5,7,$228671.59
1280,133,5,11,197646.24
1281,139,2,Unknown,119358.3
1282,81,4,13,103839.0
1283,140,4,Unknown,201391.94
1284,,3,14,176768.39
1285,ERROR,???,NaN,INVALID
1286,110,5,6,209636.57
1287,122,3,6,183362.56
1288,164,3,Unknown,258323.09
1289,,2,Unknown,145397.44
1290,97,4,12,120861.27
1291,189,6,13,255595.27
1292,119,2,13,138519.7
1293,178,4,11,238365.54
1294,123,2,14,95701.28
1295,201,2,7,300246.31
1296,110,3,10,165637.18
1297,161,6,3,330615.19
1298,193,5,13,233306.05
1299,86,4,15,71368.29
1300,177,4,4,295125.24
1301,159,,3,305091.97
1302,ERROR,???,NaN,INVALID
1303,200,6,12,275108.4
1304,119,,15,120414.74
1305,95,4,3,207584.51
1306,161,3,Unknown,190780.41
1307,95,,5,162040.36
1308,209,5,4,328031.55
1309,110,4,9,$148934.87
1310,127,,11,$164781.25
1311,197,2,13,224456.39
1312,159,2,8,202307.99
1313,128,4,5,229144.38
1314,213,5,Unknown,271848.0
1315,217,6,5,376387.87
1316,148,2,10,$176972.4
1317,127,5,4,232430.72
1318,171,2,4,255907.33
1319,158,3,9,188623.72
1320,ERROR,???,NaN,INVALID
1321,139,6,Unknown,260050.85
1322,214,3,11,276123.54
1323,159,3,14,165247.57
1324,127,,15,139798.9
1325,175,2,9,221712.27
1326,198,3,14,226395.52
1327,163,4,15,171731.2
1328,ERROR,???,NaN,INVALID
1329,,2,Unknown,203405.28
1330,118,4,Unknown,221121.64
1331,121,5,12,167126.12
1332,83,3,7,$137825.85
1333,182,5,14,246263.45
1334,201,4,15,236499.67
1335,178,2,4,298064.11
1336,191,2,9,238794.88
1337,ERROR,???,NaN,INVALID
1338,,4,12,220320.18
1339,124,2,10,168821.61
1340,142,,11,235928.21
1341,105,5,10,$177029.37
1342,145,2,15,133248.57
1343,,6,15,279464.48
1344,127,4,10,160173.64
1345,184,3,2,304190.41
1346,137,,13,118893.85
1347,187,6,7,291931.56
1348,207,3,10,$259010.44
1349,100,5,10,171220.01
1350,199,2,4,286209.95
1351,85,4,10,130304.93
1352,181,3,5,226864.7
1353,182,6,8,288113.21
1354,161,6,10,261625.51
1355,195,3,15,214434.91
1356,178,6,12,$268716.4
1357,,2,11,227709.17
1358,174,2,13,178201.03
1359,121,5,7,212330.98
1360,87,3,11,100463.91
1361,198,6,12,297236.66
1362,81,2,12,94328.45
1363,186,4,13,206058.48
1364,95,4,14,106468.59
1365,210,5,8,314634.63
1366,173,5,12,229776.85
1367,98,5,13,127377.18
1368,150,6,2,304594.51
1369,172,4,6,276681.75
1370,112,3,11,$138406.15
1371,157,3,11,209633.62
1372,168,3,11,209681.23
1373,,6,9,230054.35
1374,151,6,14,237739.76
1375,,6,5,198827.86
1376,,6,15,264961.2
1377,,3,5,$200071.22
1378,96,3,10,114822.89
1379,,6,14,179148.06
1380,135,,9,238360.68
1381,193,,11,245708.46
1382,125,4,10,160549.68
1383,167,4,12,202451.56
1384,210,,9,300159.13
1385,193,4,12,234837.71
1386,215,5,3,333265.34
1387,129,5,14,171950.87
1388,186,4,5,300954.28
1389,165,4,15,187507.06
1390,184,4,12,$218412.67
1391,133,4,6,223227.94
1392,208,,15,251748.07
1393,200,2,14,195665.55
1394,105,2,12,90720.15
1395,98,4,14,112521.34
1396,ERROR,???,NaN,INVALID
1397,97,4,15,89788.48
1398,130,4,6,237766.93
1399,204,,15,$172179.0
1400,163,6,Unknown,$257717.0
1401,,6,4,246325.97
1402,190,4,9,238312.56
1403,166,5,10,248978.78
1404,179,2,2,254666.82
1405,163,6,9,257890.2
1406,ERROR,???,NaN,INVALID
1407,112,6,7,231222.38
1408,149,,5,230045.08
1409,176,,9,239014.93
1410,111,2,4,159432.69
1411,205,6,7,329973.88
1412,,5,2,225504.69
1413,159,2,8,227349.32
1414,84,4,13,99538.69
1415,,6,4,253153.04
1416,186,3,8,267234.89
1417,126,4,3,238042.64
1418,,2,7,124796.2
1419,218,,14,$259688.05
1420,108,5,9,171978.05
1421,80,4,9,102200.18
1422,202,5,13,269572.44
1423,116,3,12,144021.4
1424,157,4,13,197705.4
1425,113,4,8,175666.74
1426,130,,2,240950.38
1427,203,5,15,236852.3
1428,219,5,3,381345.44
1429,127,4,7,212477.11
1430,96,4,8,144959.74
1431,108,2,10,127789.66
1432,209,3,8,274218.41
1433,84,3,13,$91178.13
1434,218,3,13,234292.73
1435,137,3,10,198632.82
1436,213,5,9,$301289.96
1437,,3,13,153036.24
1438,142,5,14,158639.85
1439,137,4,4,248414.2
1440,163,2,12,174790.31
1441,192,,15,237897.03
1442,149,2,8,212267.26
1443,204,4,5,308406.17
1444,,5,8,307276.11
1445,144,,7,231823.48
1446,206,3,11,268003.52
1447,,6,10,286479.19
1448,104,2,14,76609.71
1449,90,4,12,128961.76
1450,190,,5,$239504.61
1451,87,5,15,120345.58
1452,163,5,13,207653.92
1453,220,4,13,258698.02
1454,138,4,Unknown,163668.91
1455,127,5,5,235233.93
1456,162,2,3,273816.43
1457,,3,8,287015.34
1458,117,4,10,166361.1
1459,155,6,11,251046.49
1460,86,5,5,185774.51
1461,135,3,2,229763.87
1462,129,5,4,284909.27
1463,146,4,14,178288.87
1464,114,4,15,111697.15
1465,209,5,10,285228.36
1466,137,,6,266482.09
1467,123,2,10,$126986.39
1468,150,6,6,278917.8
1469,114,5,5,215002.25
1470,184,3,14,$192815.68
1471,,6,3,322087.11
1472,125,3,2,$223311.37
1473,179,,8,273094.06
1474,207,2,4,288668.96
1475,ERROR,???,NaN,INVALID
1476,215,2,2,352809.76
1477,97,3,Unknown,159874.29
1478,175,6,4,304678.65
1479,193,2,11,241680.1
1480,169,3,11,214294.05
1481,166,5,12,213985.67
1482,141,,Unknown,249780.09
1483,105,6,3,235181.15
1484,131,4,7,199912.06
1485,176,2,9,226162.27
1486,,6,15,133850.49
1487,,3,12,258768.93
1488,191,6,10,$293531.51
1489,197,3,5,$290033.74
1490,,2,6,184723.17
1491,179,3,7,267015.81
1492,159,3,12,182271.04
1493,,3,Unknown,158294.05
1494,137,2,12,$137124.72
1495,122,4,12,155360.58
1496,181,3,3,265639.37
1497,,2,Unknown,182843.89
1498,116,5,11,179718.71
1499,161,2,11,193801.04
1500,94,5,Unknown,174570.04
